Category,Attribute,MCP server 1,MCP server 2,MCP server 3,MCP server 4,MCP server 5,MCP server 6 ,MCP server 7,MCP server 8,MCP server 9,MCP server 10,MCP server 11,MCP server 12,MCP server 13,MCP server 14
MCP Server Name,,StackOne Connectors (Disco.dev),Keeper Secrets Manager,MercadoPago,TrackMage,Odos,Croit Ceph,Axiom,Jira Service Management (CData),eBay (CData JDBC),Stadia Maps MCP,,,,
MCP Info,Description,"Pre-built MCP connectors framework for 50+ popular SaaS tools including GitHub, Slack, Jira, Linear, Notion, Asana, Google Drive, HubSpot, and more. TypeScript/Zod-based library powering the disco.dev platform. Supports both Tools and Resources capabilities with per-connector credential management. Runs on Bun, Node, and Cloudflare Workers via a stateless StreamableHTTP server.","A secure intermediary between AI language models and Keeper Secrets Manager (KSM) enabling AI agents to perform secrets management tasks including listing, retrieving, searching, creating, updating, and deleting secrets and folders. Supports file attachments via upload and download, password generation with TOTP code retrieval, and confirmation workflows for sensitive write operations to safeguard enterprise application credentials.","A hosted Model Context Protocol server enabling developers to interact with MercadoLibre APIs using natural language, simplifying product integrations and task automation across Latin America's largest e-commerce marketplace. Accessible via a remote HTTPS endpoint with Bearer token authentication and supports MercadoLibre developer API resources and utilities.","A Model Context Protocol server integrating with the TrackMage API for shipment tracking and logistics management across 1600+ carriers worldwide. Provides tools for creating and managing shipments and orders, retrieving tracking checkpoints, detecting carriers from tracking numbers, and listing available carriers and workspace orders. Supports OAuth 2.1 client credentials authentication via STDIO transport.","A Model Context Protocol client for interacting with the Odos DEX aggregation platform and Zerion portfolio analytics across multiple blockchain networks. Provides tools for retrieving swap and zap quotes, token pricing, supported chain and liquidity source data, wallet portfolio composition, historical transactions, gas price estimates, and smart contract information. Odos tools require no authentication while Zerion portfolio tools require a ZERION_API_KEY.","A Model Context Protocol server for managing Ceph clusters through the Croit REST API using natural language commands. Dynamically generates tools from Croit's extensive OpenAPI specifications, enabling cluster management across services, pools, servers, and S3 object storage with log search capabilities and automatic token optimization that reduces AI processing costs by 80-95%.","A Model Context Protocol server for querying Axiom observability and log analytics data using Axiom Processing Language (APL). Provides tools to execute APL queries against datasets, retrieve dataset schemas, access saved queries, and view monitoring configurations and execution history. Note: this repository is archived and no longer maintained as of March 2026; users should migrate to the official Axiom MCP server at mcp.axiom.co.",Jira Service Management MCP Server by CData provides read-only access to live Jira Service Management data through natural language queries using CData JDBC Driver. Exposes JSM data as SQL-queryable tables via MCP.,eBay MCP Server by CData provides read-only access to live eBay data through natural language queries using CData JDBC Driver for eBay. Exposes eBay data as SQL-queryable tables via MCP interface.,"Stadia Maps MCP Server provides AI assistants with access to Stadia Maps APIs for location intelligence including geocoding, routing, isochrone analysis, and static map generation. It exposes six tools covering time zone queries, forward and bulk geocoding, route overviews with encoded polylines, reachability contours, and PNG map image rendering with markers and route overlays.",,,,
MCP Info,Git Repo Version,mcp-connectors-v0.0.25,v2.3.0,No,0.1.0,0.1.0,v0.4.4,v0.0.5,NA,NA,No,,,,
MCP Info,Category,Developer Tools,Developer Tools,Developer Tools,Developer Tools,Developer Tools,Developer Tools,Developer Tools,Data Retrieval,Data Retrieval,Data Retrieval,,,,
MCP Info,GitHub Repository,https://github.com/StackOneHQ/mcp-connectors,https://github.com/Keeper-Security/keeper-mcp-golang-docker,https://github.com/mercadolibre/mercadolibre-mcp-server,https://github.com/trackmage/trackmage-mcp-server,https://github.com/odos-xyz/odos-mcp,https://github.com/croit/mcp-croit-ceph,https://github.com/axiomhq/axiom-mcp,https://github.com/CDataSoftware/jira-service-management-mcp-server-by-cdata,https://github.com/cdatasoftware/ebay-mcp-server-by-cdata,https://github.com/stadiamaps/stadiamaps-mcp-server-ts,,,,
MCP Info,Endpoint URL,N/A,N/A,https://mcp.mercadolibre.com/mcp,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,
Distribution Type,Official,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,,,,
Distribution Type,Community,No,No,No,No,No,No,No,No,Yes,No,,,,
MCP Protocol Version,2025-11-25,Yes,No,No,Yes,No,No,No,No,No,Yes,,,,
MCP Protocol Version,2025-06-18,No,No,No,No,No,No,No,No,No,No,,,,
