Category,Attribute,MCP server 1,MCP server 2,MCP server 3,MCP server 4,MCP server 5,MCP server 6,MCP server 7,MCP server 8,MCP server 9,MCP server 10,MCP server 11,MCP server 12,MCP server 13,MCP server 14,MCP server 15
MCP server name,,Chroma MCP ,BioMCP MCP,Microsoft Learn MCP,Terraform Registry MCP ,Nexus MCP,Svelte MCP,ClickHouse MCP,Exotel MCP,Shutter Network MCP,Baidu Maps MCp,Panther Labs MCP,Last9 Observability MVP,QuantConnect MCP,Twilio MCP,CUA MCP 
MCP Info,Description,"Chroma MCP Server is an open-source embedding database integration for LLM applications. Provides vector search, full-text search, metadata filtering, and collection management capabilities. Supports multiple client types (ephemeral in-memory, persistent file-based, HTTP self-hosted, and Chroma Cloud integration) with configurable embedding functions including default, Cohere, OpenAI, Jina, VoyageAI, and Roboflow.","Read-only biomedical search and evidence retrieval across 15+ sources: PubMed, ClinicalTrials.gov, ClinVar, gnomAD, OncoKB, Reactome, UniProt, PharmGKB, OpenFDA, NCBI, Beacon, HGNC, MeSH, Mondo, and Semantic Scholar. One query grammar searches literature, pivots across entities (genes, variants, drugs, diseases, proteins, pathways, articles), analyzes studies locally with SVG charts, and follows paper trails through citations and recommendations.","Official Microsoft MCP server providing semantic search and fetch of Microsoft technical documentation and code samples. Enables AI assistants to access current Microsoft Learn content without hallucinations. Three tools: microsoft_docs_search (search docs), microsoft_docs_fetch (convert pages to markdown), microsoft_code_sample_search (locate code examples).","Model Context Protocol server providing seamless integration with Terraform Registry APIs and HCP Terraform/Terraform Enterprise workspace management. Enables advanced automation for Infrastructure as Code (IaC) development with support for provider/module/policy search, workspace operations, and run management.","Grafbase Nexus is an MCP server aggregation and routing platform that connects multiple MCP servers (STDIO, SSE, HTTP) through a single endpoint. It provides unified MCP aggregation, LLM provider routing (OpenAI, Anthropic, Google, AWS Bedrock), context-aware tool search, and protocol support with OAuth2 and TLS security.","Official Svelte MCP server providing documentation, code analysis, and Svelte playground generation. Offers intelligent code fixing via svelte-autofixer tool, documentation search across Svelte 5 and SvelteKit sections, and interactive playground link generation for component testing.","MCP server providing native integration with ClickHouse for executing SQL queries, listing databases/tables, and querying embedded chDB instances. Supports both read-only mode and optional write operations with safety protections for destructive operations.","ExotelMCP provides seamless integration between Claude AI and Exotel's communication APIs for SMS and voice calling services. Includes DLT-compliant messaging, voice call management, call flow integration, and quick audio tools for playback and download.","A Model Context Protocol server providing timelock encryption capabilities using the Shutter Network on Gnosis Chiado testnet.
 Enables encrypting messages that remain sealed until a designated future time arrives, using threshold cryptography via the decentralised Shutter keyper network.
 Supports natural language time expressions (""3 months from now""), Unix timestamps, and absolute dates for unlock time specification.
 Alpha software — intended for experimental use on testnet only; not production-ready.","Baidu Map MCP Server is a fully MCP-compliant open-source Location-Based Service (LBS) solution powered by Baidu Maps — the first map provider in China to support MCP. Provides geocoding, reverse geocoding, POI search, route planning (driving/walking/cycling/transit), real-time weather, IP location, and road traffic via standardized MCP interfaces. Available as Python (PyPI) and TypeScript (npm) SDKs for local STDIO use, or via hosted SSE/StreamableHttp endpoints at mcp.map.baidu.com for low-latency remote access.","Panther MCP Server enables AI agents to write and tune security detections in Python, interactively query security logs via natural language SQL, and triage/comment/resolve alerts within the Panther SIEM platform. Built with FastMCP 2.14.0 and supports both STDIO and StreamableHttp (Docker or UVX) transport. Provides 35+ tools spanning alert management, data lake queries, detection management, scheduled queries, log source monitoring, user/role administration, metrics, and global helpers.","MCP server enabling AI agents to integrate real-time production observability into development environments.
 Supports hosted StreamableHttp (zero-install) and self-hosted STDIO modes.
 Provides querying for exceptions, service metrics, Prometheus data, distributed traces, log drop rules, and alert configurations.
 Official server maintained by Last9 with OAuth browser auth for hosted and token-based auth for self-hosted deployments.","Official Python MCP server enabling AI systems to interact with QuantConnect's cloud algorithmic trading platform.
 Provides 64 tools covering project management, file operations, compilation, backtesting, live trading deployment, and optimization.
 Runs via Docker container using STDIO transport; multi-agent support via unique AGENT_NAME environment variable.
 Requires QuantConnect User ID and API token for authentication to the QuantConnect REST API.","Official MCP server exposing all of Twilio's public APIs to AI assistants and tools.
 Provides access to 40+ Twilio services including messaging, voice, video, verification, account management, and serverless functions.
 Tools are auto-generated from Twilio's OpenAPI specifications; also includes a generic openapi-mcp-server for custom OpenAPI specs.
 Requires Twilio Account SID, API Key, and API Secret for authenticating to the Twilio platform.","MCP server for Computer-Use Agent (CUA) enabling AI to control full desktop environments on macOS, Linux, and Windows.
 Provides tools for executing single or multi-step computer-use agent tasks, capturing screenshots, and managing session resources.
 Integrates with MCP clients including Claude Desktop and Cursor; requires Anthropic API key for the underlying AI model.
 Open-source component of the trycua/cua infrastructure for training and evaluating computer-use AI agents."
MCP Info,Git Repo Version,v0.2.6 [ Referred from Tags/Releases ],v0.8.19,No releases published (using main branch),v0.4.0,v0.6.0,0.0.1,v0.2.0,0.0.1-SNAPSHOT,N/A (no releases or tags; README references version 2.1.0),v0.2.4,v2.3.1,v0.5.1,v0.0.10,v0.0.3,v0.1.16
MCP Info,Category,Data Retrieval,Biomedical Data Retrieval,Developer Tools,Developer Tools,Developer Tools,Developer Tools,Data Retrieval,Communication & Messaging,Developer Tools,Data Retrieval,Developer Tools,Developer Tools,Developer Tools,Developer Tools,Developer Tools
MCP Info,GitHub Repository,https://github.com/chroma-core/chroma-mcp,https://github.com/genomoncology/biomcp,https://github.com/microsoftdocs/mcp,https://github.com/hashicorp/terraform-mcp-server,https://github.com/grafbase/nexus,https://github.com/sveltejs/ai-tools,https://github.com/ClickHouse/mcp-clickhouse,https://github.com/exotel/ExotelMCP,https://github.com/shutter-network/shuttermcp,https://github.com/baidu-maps/mcp,https://github.com/panther-labs/mcp-panther,https://github.com/last9/last9-mcp-server,https://github.com/quantconnect/mcp-server,https://github.com/twilio-labs/mcp,https://github.com/trycua/cua
MCP Info,Endpoint URL,N/A,N/A,https://learn.microsoft.com/api/mcp,NA,http://localhost:8000/mcp,https://mcp.svelte.dev/mcp,N/A,http://ec2-13-127-242-200.ap-south-1.compute.amazonaws.com:8080/mcp,https://shutter-mcp-b76e270d48c5.herokuapp.com/mcp,https://mcp.map.baidu.com/mcp,N/A,https://app.last9.io/api/v4/organizations/<org_slug>/mcp,N/A,N/A,N/A
Distribution Type,Official,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Distribution Type,Community,No,No,No ,No,No,No,No,No,Yes,No,No,No,No,No,No
MCP Protocol Version,2025-11-25,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
MCP Protocol Version,2025-06-18,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No
